CommitID,Payment,Ordering,Webhooks,Basket,Identity,Catalog,Marketing,
2451ab9d,N,Y,N,N,Y,Y,Y,
dcb9b873,N,N,N,Y,Y,N,N,
47a33ddd,N,N,N,Y,N,Y,Y,
23bdd59b,Y,Y,N,Y,Y,Y,Y,
02f5e115,Y,N,N,Y,Y,N,N,
9371eb10,Y,Y,N,Y,Y,Y,Y,
607a3049,Y,Y,N,Y,Y,Y,Y,
e4fa15b8,Y,Y,N,Y,Y,Y,Y,
470e6268,Y,Y,N,Y,Y,Y,Y,
ec36772c,N,Y,N,N,N,N,Y,
77e5f9ba,Y,Y,N,Y,Y,Y,Y,
924c7350,Y,Y,N,Y,Y,Y,Y,
abb9bcfe,Y,Y,N,Y,Y,Y,Y,
595e6e49,Y,Y,N,Y,Y,Y,Y,
4dff728d,N,Y,N,Y,Y,N,N,
091ed81e,Y,Y,N,Y,Y,Y,Y,
ebf9822a,N,Y,N,N,N,N,N,
80462033,Y,Y,N,Y,N,Y,Y,
ee61c8f4,N,Y,N,N,Y,Y,Y,
8c810ad8,N,Y,N,Y,N,Y,Y,
2ad61d90,N,Y,N,N,N,N,Y,
c51c101f,Y,Y,N,Y,Y,Y,Y,
42ce1962,Y,Y,N,Y,Y,Y,Y,
e1c93bd0,N,Y,N,N,N,N,N,
7dfb2db7,Y,Y,N,Y,Y,Y,Y,
dc98e6a4,Y,Y,N,Y,Y,Y,Y,
1b38589f,Y,Y,N,Y,N,Y,Y,
9e535930,N,Y,N,Y,N,Y,Y,
c3e15969,Y,Y,N,Y,Y,Y,Y,
a04cef97,Y,Y,N,Y,Y,Y,Y,
373bdd98,N,Y,N,N,Y,Y,Y,
d8b374ac,N,Y,N,N,N,Y,Y,
04c90f09,N,Y,N,N,Y,N,N,
49c825d1,Y,N,N,Y,N,N,Y,
226c03b5,N,Y,N,N,Y,Y,Y,
7321d5e5,Y,Y,N,Y,Y,Y,Y,
6fd4f460,Y,Y,N,Y,N,Y,Y,
8198126d,Y,Y,N,Y,Y,Y,Y,
70e429b7,N,Y,N,N,N,Y,Y,
c9ff332b,N,N,N,Y,N,N,Y,
dc566ea2,Y,Y,N,Y,N,Y,Y,
9ed7325e,N,Y,N,Y,Y,Y,Y,
6ac34cbd,N,N,N,Y,N,N,Y,
364c07a5,N,Y,N,N,N,Y,N,
c4454b00,Y,N,N,N,N,N,Y,
360456f0,N,N,N,N,N,N,Y,
03d5a50a,Y,N,N,N,N,N,Y,
01469da7,N,Y,N,Y,N,Y,N,
58f3b5b2,N,Y,N,N,N,N,N,
8288acf3,Y,Y,N,Y,N,Y,Y,
3d552b32,N,Y,N,N,N,N,N,
d35dc2ea,Y,N,N,N,N,N,N,
87ea62cc,Y,N,N,N,N,N,Y,
f39fdb92,N,Y,N,Y,N,N,N,
d289ec00,Y,Y,N,Y,Y,N,Y,
f0f88aee,N,N,N,N,N,Y,Y,
540f7510,N,N,N,N,Y,N,N,
a65e9c01,N,N,N,N,N,N,Y,
525040b9,Y,N,N,N,N,Y,Y,
f9934638,Y,Y,N,Y,Y,Y,Y,
d65a1125,Y,Y,N,Y,Y,Y,Y,
a56f99f6,N,Y,N,Y,N,Y,N,
18b91ee5,N,Y,N,N,Y,Y,N,
6b466a2c,N,Y,N,N,N,N,N,
56902a55,Y,Y,N,Y,N,Y,Y,
445101b3,N,Y,N,N,Y,Y,N,
9fee40e3,N,N,N,N,Y,N,Y,
e80c5efd,N,N,N,N,Y,N,Y,
a9c185a4,N,Y,N,N,N,Y,N,
5f28f8f7,N,Y,N,N,N,Y,N,
0ffa9cb9,N,N,N,N,N,N,Y,
f1ccc24c,N,N,N,N,N,N,Y,
41654878,N,N,N,N,N,N,Y,
1881ed14,N,N,N,N,N,N,Y,
9bf56700,N,N,N,N,N,N,Y,
4b8723f7,N,N,N,N,N,N,Y,
41101164,N,N,N,N,Y,N,N,
8d0ef809,N,N,N,N,Y,N,N,
bae10b07,N,N,N,N,Y,N,N,
13cfe433,N,N,N,N,Y,N,N,
b42fe352,N,Y,N,N,N,Y,N,
694253d4,N,Y,N,N,N,Y,N,
1ac1dae9,N,N,N,N,N,N,Y,
4dc8b65e,N,N,N,N,N,N,Y,
18167186,N,Y,N,Y,N,Y,N,
83ae0d48,N,Y,N,Y,N,Y,N,
9d5cde20,N,N,N,N,Y,Y,N,
83166cde,N,N,N,N,Y,Y,N,
41a68142,N,Y,N,Y,N,Y,N,
4410e455,N,Y,N,Y,Y,Y,N,
ad4142b9,N,Y,N,Y,Y,Y,N,
ed0e548e,N,Y,N,Y,N,Y,N,
e4549408,N,Y,N,Y,N,Y,N,
9a100c9a,N,Y,N,Y,N,Y,N,
